D R A G   C O E F F I C I E N T  ( CD ) = -0.169588859346D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.659449D+00     0.163769D+01
    2         2         1       0.951228D+00     0.497893D+00
    3         3         1       0.115844D+01     0.338624D+00
    4         4         1       0.129266D+01     0.131482D+00

    5         1         2       0.777702D+00     0.182011D+01
    6         2         2       0.106400D+01     0.452579D+00
    7         3         2       0.123189D+01     0.265696D+00
    8         4         2       0.132849D+01     0.978567D-01

    9         1         3       0.777702D+00     0.182011D+01
   10         2         3       0.106400D+01     0.452579D+00
   11         3         3       0.123189D+01     0.265696D+00
   12         4         3       0.132849D+01     0.978567D-01

   13         1         4       0.659449D+00     0.163769D+01
   14         2         4       0.951228D+00     0.497893D+00
   15         3         4       0.115844D+01     0.338624D+00
   16         4         4       0.129266D+01     0.131482D+00

T I M E   S T E P   N U M B E R  ( it ):   16

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.655869237250D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.633521034929D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.169751449697D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.659972D+00     0.163921D+01
    2         2         1       0.952224D+00     0.498536D+00
    3         3         1       0.115997D+01     0.339123D+00
    4         4         1       0.129479D+01     0.131665D+00

    5         1         2       0.778306D+00     0.182160D+01
    6         2         2       0.106502D+01     0.453006D+00
    7         3         2       0.123336D+01     0.265955D+00
    8         4         2       0.133047D+01     0.978632D-01

    9         1         3       0.778306D+00     0.182160D+01
   10         2         3       0.106502D+01     0.453006D+00
   11         3         3       0.123336D+01     0.265955D+00
   12         4         3       0.133047D+01     0.978632D-01

   13         1         4       0.659972D+00     0.163921D+01
   14         2         4       0.952224D+00     0.498536D+00
   15         3         4       0.115997D+01     0.339123D+00
   16         4         4       0.129479D+01     0.131665D+00

T I M E   S T E P   N U M B E R  ( it ):   17

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.656388579674D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.634022681189D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.169885865408D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.660401D+00     0.164046D+01
    2         2         1       0.953036D+00     0.499063D+00
    3         3         1       0.116121D+01     0.339531D+00
    4         4         1       0.129649D+01     0.131819D+00

    5         1         2       0.778801D+00     0.182283D+01
    6         2         2       0.106585D+01     0.453359D+00
    7         3         2       0.123455D+01     0.266172D+00
    8         4         2       0.133205D+01     0.978787D-01

    9         1         3       0.778801D+00     0.182283D+01
   10         2         3       0.106585D+01     0.453359D+00
   11         3         3       0.123455D+01     0.266172D+00
   12         4         3       0.133205D+01     0.978787D-01

   13         1         4       0.660401D+00     0.164046D+01
   14         2         4       0.953036D+00     0.499063D+00
   15         3         4       0.116121D+01     0.339531D+00
   16         4         4       0.129649D+01     0.131819D+00

T I M E   S T E P   N U M B E R  ( it ):   18

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.656818133222D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.634437598054D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.169997042047D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.660756D+00     0.164149D+01
    2         2         1       0.953702D+00     0.499497D+00
    3         3         1       0.116221D+01     0.339865D+00
    4         4         1       0.129786D+01     0.131948D+00

    5         1         2       0.779211D+00     0.182385D+01
    6         2         2       0.106653D+01     0.453650D+00
    7         3         2       0.123551D+01     0.266352D+00
    8         4         2       0.133333D+01     0.978975D-01

    9         1         3       0.779211D+00     0.182385D+01
   10         2         3       0.106653D+01     0.453650D+00
   11         3         3       0.123551D+01     0.266352D+00
   12         4         3       0.133333D+01     0.978975D-01

   13         1         4       0.660756D+00     0.164149D+01
   14         2         4       0.953702D+00     0.499497D+00
   15         3         4       0.116221D+01     0.339865D+00
   16         4         4       0.129786D+01     0.131948D+00

T I M E   S T E P   N U M B E R  ( it ):   19

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.657176216341D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.634783479787D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.170089720778D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.661052D+00     0.164235D+01
    2         2         1       0.954253D+00     0.499855D+00
    3         3         1       0.116304D+01     0.340141D+00
    4         4         1       0.129898D+01     0.132056D+00

    5         1         2       0.779552D+00     0.182469D+01
    6         2         2       0.106710D+01     0.453893D+00
    7         3         2       0.123631D+01     0.266503D+00
    8         4         2       0.133437D+01     0.979176D-01

    9         1         3       0.779552D+00     0.182469D+01
   10         2         3       0.106710D+01     0.453893D+00
   11         3         3       0.123631D+01     0.266503D+00
   12         4         3       0.133437D+01     0.979176D-01

   13         1         4       0.661052D+00     0.164235D+01
   14         2         4       0.954253D+00     0.499855D+00
   15         3         4       0.116304D+01     0.340141D+00
   16         4         4       0.129898D+01     0.132056D+00

T I M E   S T E P   N U M B E R  ( it ):   20

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.657478464964D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.635075429538D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.170167948478D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.661301D+00     0.164308D+01
    2         2         1       0.954713D+00     0.500156D+00
    3         3         1       0.116373D+01     0.340372D+00
    4         4         1       0.129990D+01     0.132148D+00

    5         1         2       0.779837D+00     0.182541D+01
    6         2         2       0.106757D+01     0.454099D+00
    7         3         2       0.123697D+01     0.266632D+00
    8         4         2       0.133523D+01     0.979387D-01

    9         1         3       0.779837D+00     0.182541D+01
   10         2         3       0.106757D+01     0.454099D+00
   11         3         3       0.123697D+01     0.266632D+00
   12         4         3       0.133523D+01     0.979387D-01

   13         1         4       0.661301D+00     0.164308D+01
   14         2         4       0.954713D+00     0.500156D+00
   15         3         4       0.116373D+01     0.340372D+00
   16         4         4       0.129990D+01     0.132148D+00

T I M E   S T E P   N U M B E R  ( it ):   21

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.657736249038D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.635324429833D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.170234667905D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.661512D+00     0.164369D+01
    2         2         1       0.955100D+00     0.500411D+00
    3         3         1       0.116430D+01     0.340568D+00
    4         4         1       0.130067D+01     0.132226D+00

    5         1         2       0.780080D+00     0.182601D+01
    6         2         2       0.106796D+01     0.454276D+00
    7         3         2       0.123751D+01     0.266745D+00
    8         4         2       0.133594D+01     0.979602D-01

    9         1         3       0.780080D+00     0.182601D+01
   10         2         3       0.106796D+01     0.454276D+00
   11         3         3       0.123751D+01     0.266745D+00
   12         4         3       0.133594D+01     0.979602D-01

   13         1         4       0.661512D+00     0.164369D+01
   14         2         4       0.955100D+00     0.500411D+00
   15         3         4       0.116430D+01     0.340568D+00
   16         4         4       0.130067D+01     0.132226D+00

T I M E   S T E P   N U M B E R  ( it ):   22

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.657956149994D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.635536837845D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.170291582461D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.661692D+00     0.164422D+01
    2         2         1       0.955428D+00     0.500627D+00
    3         3         1       0.116478D+01     0.340733D+00
    4         4         1       0.130131D+01     0.132293D+00

    5         1         2       0.780286D+00     0.182653D+01
    6         2         2       0.106830D+01     0.454426D+00
    7         3         2       0.123798D+01     0.266841D+00
    8         4         2       0.133653D+01     0.979804D-01

    9         1         3       0.780286D+00     0.182653D+01
   10         2         3       0.106830D+01     0.454426D+00
   11         3         3       0.123798D+01     0.266841D+00
   12         4         3       0.133653D+01     0.979804D-01

   13         1         4       0.661692D+00     0.164422D+01
   14         2         4       0.955428D+00     0.500627D+00
   15         3         4       0.116478D+01     0.340733D+00
   16         4         4       0.130131D+01     0.132293D+00

T I M E   S T E P   N U M B E R  ( it ):   23

